NUTS3,UKD73,Sefton,2799,2908,3063,3113,3232,3532,3513,3843,3787,4058,4041,4091,4028,3990,3901,3793,3885,3915,4042
NUTS3,UKD74,Wirral,2904,3042,3093,3132,3217,3456,3735,3784,3883,4097,4119,4300,4059,4088,4271,4056,4274,4427,4661
NUTS1,UKE,Yorkshire and The Humber,60030,62206,62917,65146,67839,72903,78571,83819,87812,92248,97464,98234,97080,97281,98929,101141,104107,106544,109704
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,10877,11079,10736,11113,11554,12499,13441,14366,14987,15664,16741,16649,17519,16687,16737,17007,17031,17479,17802
NUTS3,UKE11,Kingston upon Hull City of,2931,2947,2948,3226,3258,3499,3870,4109,4255,4518,4803,4713,4917,4669,4772,4913,5029,5004,5129
NUTS3,UKE12,East Riding of Yorkshire,3549,3595,3519,3683,3903,4230,4447,5033,5064,5230,5381,5519,5653,5521,5379,5712,5833,5815,5990
NUTS3,UKE13,North and North East Lincolnshire,4398,4537,4269,4205,4393,4770,5125,5223,5668,5916,6557,6418,6949,6498,6587,6382,6168,6661,6683
NUTS2,UKE2,North Yorkshire,10199,10347,10489,11064,11559,12884,13914,14702,15121,15701,16532,16672,15996,16333,16759,17098,17950,18204,18629
NUTS3,UKE21,York,2856,2918,2953,3129,3332,3704,3979,4317,4274,4383,4654,4553,4491,4499,4638,4758,4922,4907,5068
NUTS3,UKE22,North Yorkshire CC,7343,7429,7536,7935,8227,9180,9936,10385,10847,11318,11878,12119,11505,11834,12121,12339,13028,13297,13561
NUTS2,UKE3,South Yorkshire,12901,13643,13408,13952,14715,16014,17099,18459,19249,20304,21797,21473,21040,21633,21794,22337,22876,23598,24315
NUTS3,UKE31,Barnsley Doncaster and Rotherham,6788,7168,7032,7380,7638,8320,9098,9888,10300,10921,11658,11348,10880,11379,11412,11597,12014,12559,13016
NUTS3,UKE32,Sheffield,6113,6475,6376,6572,7077,7694,8002,8571,8949,9384,10138,10126,10160,10254,10382,10740,10862,11038,11300
NUTS2,UKE4,West Yorkshire,26052,27138,28284,29017,30011,31506,34116,36291,38455,40579,42394,43439,42525,42627,43639,44699,46250,47263,48958
NUTS3,UKE41,Bradford,5359,5559,5887,6003,6088,6428,6754,6962,7216,7906,8404,8528,8593,8226,8366,8623,9041,9165,9504
NUTS3,UKE42,Leeds,10686,11202,11672,12115,12775,13548,14623,15690,16902,17755,18482,19035,18547,18496,19051,19088,19788,20338,21260
NUTS3,UKE44,Calderdale and Kirklees,6504,6735,6904,7008,7167,7364,8141,8764,9257,9608,9980,10219,9877,10129,10386,10807,10965,11256,11573
NUTS3,UKE45,Wakefield,3502,3642,3821,3890,3981,4166,4598,4875,5080,5309,5527,5656,5508,5776,5835,6181,6456,6504,6621
NUTS1,UKF,East Midlands,52799,54060,54929,56853,59506,62089,66569,69295,73705,77780,81564,83346,80001,83468,85757,88276,92036,96144,97887
