Area Codes,Area Names,Sex,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015
E06000045,Southampton,Male,75.8,76.1,76.2,76.5,76.7,77.2,78,78.1,78.5,78.4,78.1,78.1,78.3
E06000045,Southampton,Female,80.6,80.7,81,81.4,81.6,81.7,81.9,82.1,82.7,82.6,82.6,82.9,82.9
